Date,Occasion,Problems
01-09,Day 1,Two Sum; Valid Anagram; Backspace String Compare
02-09,Day 2,Contains Duplicate; Best Time to Buy and Sell Stock; 3Sum
03-09,Day 3,Majority Element; Move Zeroes; Container With Most Water
04-09,Day 4,Single Number; Intersection of Two Arrays II; Sort Colors
05-09,Day 5,Plus One; Merge Sorted Array; Longest Substring Without Repeating Characters
06-09,Sunday,HOLIDAY
07-09,Day 6,Remove Duplicates from Sorted Array; Remove Element; Minimum Size Subarray Sum
08-09,Day 7,Search Insert Position; Valid Palindrome; Longest Repeating Character Replacement
09-09,Day 8,Reverse String; Reverse Integer; Permutation in String
10-09,Day 9,Palindrome Number; Roman to Integer; Find All Anagrams in a String
11-09,Day 10,Integer to Roman; Longest Common Prefix; 3Sum Closest
12-09,Day 11,Find the Index of the First Occurrence in a String; Length of Last Word; 4Sum
13-09,Sunday,HOLIDAY
14-09,Ganesh Chaturthi,HOLIDAY
15-09,Day 12,Add Binary; Sqrt(x); Subarray Product Less Than K
16-09,Day 13,Climbing Stairs; Pascal's Triangle; Max Consecutive Ones III
17-09,Day 14,Pascal's Triangle II; Missing Number; Fruit Into Baskets
18-09,Day 15,Find All Numbers Disappeared in an Array; Third Maximum Number; Boats to Save People
19-09,Day 16,Assign Cookies; Two Sum II - Input Array Is Sorted; Sort an Array
20-09,Sunday,HOLIDAY
21-09,Day 17,Squares of a Sorted Array; Fibonacci Number; Kth Largest Element in an Array
22-09,Day 18,Ransom Note; First Unique Character in a String; Sliding Window Maximum
23-09,Day 19,Isomorphic Strings; Word Pattern; Minimum Window Substring
24-09,Day 20,Happy Number; Excel Sheet Column Title; Rotate Array
25-09,Day 21,Excel Sheet Column Number; Power of Two; Product of Array Except Self
26-09,Day 22,Power of Three; Power of Four; Trapping Rain Water
27-09,Sunday,HOLIDAY
28-09,Day 23,Ugly Number; Count Primes; Backspace String Compare
29-09,Day 24,Add Digits; Number of 1 Bits; 3Sum
30-09,Day 25,Reverse Bits; Hamming Distance; Container With Most Water
01-10,Day 26,Reverse Linked List; Subsets; Subsets II
02-10,Day 27,Merge Two Sorted Lists; Permutations; Permutations II
03-10,Day 28,Linked List Cycle; Combinations; Combination Sum
04-10,Sunday,HOLIDAY
05-10,Day 29,Palindrome Linked List; Combination Sum II; Letter Combinations of a Phone Number
06-10,Day 30,Remove Duplicates from Sorted List; Generate Parentheses; Word Search
07-10,Day 31,Middle of the Linked List; Palindrome Partitioning; Combination Sum III
08-10,Day 32,Valid Parentheses; Beautiful Arrangement; Binary Search
09-10,Day 33,Implement Queue using Stacks; First Bad Version; Valid Perfect Square
10-10,Day 34,Implement Stack using Queues; Search in Rotated Sorted Array; Find Minimum in Rotated Sorted Array
11-10,Sunday,HOLIDAY
12-10,Day 35,Min Stack; Search a 2D Matrix; Search a 2D Matrix II
13-10,Day 36,Add Two Numbers; Find Peak Element; Koko Eating Bananas
14-10,Day 37,Reverse Linked List; Time Based Key-Value Store; Search in Rotated Sorted Array II
15-10,Day 38,Merge Two Sorted Lists; Find First and Last Position of Element in Sorted Array; Capacity To Ship Packages Within D Days
16-10,Day 39,Linked List Cycle; Find K Closest Elements; Median of Two Sorted Arrays
17-10,Day 40,Palindrome Linked List; Maximum Depth of Binary Tree; Same Tree
18-10,Sunday,HOLIDAY
19-10,Day 41,Remove Duplicates from Sorted List; Invert Binary Tree; Symmetric Tree
20-10,Dussehra,HOLIDAY
21-10,Day 42,Middle of the Linked List; Path Sum; Balanced Binary Tree
22-10,Day 43,Valid Parentheses; Minimum Depth of Binary Tree; Binary Tree Preorder Traversal
